Adresse,Departement,Latitude,Longitude,Soiree,Thematique,Description,Forme,Date,Horaire,Lieu,Organisateurs,Contact,Lien,Prix,Photo
100 Chemin du Gabugy 69120 Vaulx-en-Velin,Rhone,45.772259,4.916897,Soiree 1,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Danse,18/11/2020,19:30:00,A'vaulxelles,A'vaulxelles,email@gmail.com,http://traces-migrations.org/,13 € / 7 € / 4 €,
20 Rue Saint Antoine 26100 Romans-sur-Isère,Drome,45.043969,5.053925,Soiree 2,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,20:30:00,"Accés Romans, Université populaire de Romans","Accés Romans, Université populaire de Romans",email@gmail.com,http://traces-migrations.org/,13 € / 7 € / 4 €,
14 Place Lieutenant Morel 69001 Lyon,Rhone,45.772321,4.826572,Soiree 3,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",21/11/2020,17:00:00,Acte Public Compagnie,Acte Public Compagnie,email@gmail.com,http://traces-migrations.org/,entrée libre – réservation conseillée,
5 Place Sainte Claire 38000 Grenoble,Isere,45.190885,5.73137,Soiree 4,Travail,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,10/11/2020,13:00:00,ADATE,ADATE,email@gmail.com,http://traces-migrations.org/,entree libre,
Pl Rene Vair 73000 Chambéry,Savoie,45.561606,5.903517,Soiree 5,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,02/12/2020,13:00:00,ADDCAES,ADDCAES,email@gmail.com,http://traces-migrations.org/,entree libre,
14 Avenue Berthelot 69007 Lyon,Rhone,45.747037,4.835798,Soiree 6,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,20:30:00,Africa 50,Africa 50,email@gmail.com,http://traces-migrations.org/,13 € / 7 € / 4 €,
7 Rue Pasteur 26190 Saint-Jean-en-Royans,Vercors,45.018046,5.290511,Soiree 7,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",21/11/2020,17:00:00,AIR - Accueil Interculturel Royans,AIR - Accueil Interculturel Royans,email@gmail.com,http://traces-migrations.org/,entrée libre – réservation conseillée,
7 Rue de la Paix 01000 Bourg-en-Bresse,Ain,46.203976,5.221663,Soiree 8,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Theatre,24/11/2020,20:30:00,"Alfa3A, service médiation intégration","Alfa3A, service médiation intégration",email@gmail.com,http://traces-migrations.org/,13 € / 7 € / 4 €,
30 Avenue Auguste Blanqui 69100 Villeurbanne,Rhone,45.76236,4.884576,Soiree 9,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",21/11/2020,17:00:00,ALWANE,ALWANE,email@gmail.com,http://traces-migrations.org/,entrée libre – réservation conseillée,
57 Avenue Maréchal Randon 38000 Grenoble,Isere,45.193918,5.732729,Soiree 10,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,21/11/2020,20:30:00,Amal,Amal,email@gmail.com,http://traces-migrations.org/,,
