Latitude,Longitude,Departement,Titre,Thematique,Forme,Dates,Semaine du,Horaire,Lieu,Organisateurs,Informations,Lien,Site structure,Prix,Adresse,Code postal,Ville,Full Address,Description
45.7792104,3.0688017,Auvergne,"« Nous et les autres, des préjugés au racisme.»",Discriminations,"Exposition, Conférence, Table ronde",Mer 7 oct au sam 2 janv,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",,"Musée de la Résistance, de l’Internement et de la Déportation","Musée de la Résistance, de l’Internement et de la Déportation de Clermont Auvergne Métropole",musee.resistance@clermontmetropole.eu,http://traces-migrations.org/2020/09/11/auv1007nea/,,3 € / 2 €,7 place Beaulieu,63400,Chamalières,7 place Beaulieu 63400 Chamalières ,"Au croisement de l’anthropologie, de la biologie, de la sociologie et de l’histoire, l’exposition s’appuie sur des études menées par des chercheurs en sciences de l’Homme et de la société. Elle propose un parcours qui s’attache à décrypter pourquoi et comment se met en place le racisme, la xénophobie à des moments de l’histoire des sociétés. Une exposition conçue et réalisée par la Muséum national d’histoire naturelle – site du Musée de l’Homme. Une rencontre sera organisée avec la commissaire, historienne Carole Reynaud-Paligot."
45.78429,4.8525119,Rhone,« Comme un parfum d’aventure »,,"Exposition, Visite commentée",Mer 7 oct au dim 3 janv,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",Horaires du Musée,Musée d’art contemporain,Musée d’art contemporain de Lyon et le Musée des Beaux-arts de Lyon,Service des publics : 04 72 69 17 19 ,http://traces-migrations.org/2020/09/10/rhone1007mac/,hwww.mac-lyon.com/fr,,81 quai Charles de Gaulle,69006,Lyon,81 quai Charles de Gaulle 69006 Lyon ,"Inspirée de l’expérience récente du confinement, cette exposition explore la question du déplacement, empêché ou imposé, volontaire ou suscité, individuel ou en groupe, et ses conséquences sur l’individu. Elle questionne aussi les liens entre idéologies politiques, systèmes économiques, changements climatiques et mouvements migratoires."
,,Auvergne,Festival Saveurs Sans Frontières – 2ème édition,Hospitalité,Festival,Mer 7 oct au sam 24 oct,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre",,,l'Association A.N.I.S Etoilé,04 73 14 14 13 – contact@anisetoile.org,http://traces-migrations.org/2020/09/11/auv1007anis/,anisetoile.wixsite.com/saveursansfrontieres,,,,,   ,"Pour la deuxième année consécutive, l’association A.N.I.S. Etoilé organise le festival Saveurs Sans Frontières qui a pour objectif de déconstruire les idées reçues sur les migrations internationales. Il met devant les fourneaux : hospitalité, fraternité, Saveurs d’ici et d’ailleurs... Il en ressort dans les assiettes : partages et échanges interculturels à travers la cuisine. Une vingtaine d’équipes composées de chefs cuisiniers professionnels auvergnats et réfugiés réalisent ensemble des créations culinaires uniques."
45.1938645,5.7327524,Isère,Grèce : de l’exil des Troyens au camp de réfugiés à Samos en 2020,,Exposition,Mer 7 au sam 31 oct,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre",De 9h à 13h et de 14h à 18h (lun au ven) / De 9h à 13h (mer),Association AMAL,AMAL,amal38@gmail.com,http://traces-migrations.org/2020/09/10/isere-1107-grece/,Amal38.fr,Prix libre,57 avenue Maréchal Randon,38000,Grenoble,57 avenue Maréchal Randon 38000 Grenoble ,Fatima Ejjaki (Amel France) nous alarme sur les conditions des réfugiés en Grèce. Nos démocraties sont-elles encore les dignes héritières du monde hellénique antique dont le pacte de l’hospitalité était sacré ? C’est ce que nous crient les peintures poignantes de Jean-Pierre Philibert et Persona et les photos prises au camp de Vathy à Samos par Irène Santaella et Guy Caussé.
45.7599408,3.0948726,Auvergne,Lancement de la plateforme MÉMOIRES de Saint-Jacques,Quartiers populaires,Site internet,Oct,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre",,AMTA,l'AMTA / Le Damier / Clermont Auvergne Métropole,,http://traces-migrations.org/2020/09/11/auv10amta/,www.memoiresaintjacques.fr,,17 rue Baudelaire,63000,Clermont-Ferrand,17 rue Baudelaire 63000 Clermont-Ferrand ,L’AMTA (Agence des Musiques des Territoires d’Auvergne) a pour mission de créer une plateforme numérique qui mettra en avant l’ensemble des projets réalisés dans le quartier Saint-Jacques. Cet outil sera alimenté par les porteurs de projets et les habitants du quartier autour de cette question de la mémoire. Il doit servir à rendre visible le récit territorial porté par la Métropole et par les habitants.
45.1927768,5.727369899999999,Isère,"Sauver, protéger, témoigner : l’engagement citoyen de SOS méditerranée","Frontières, Hospitalité",Théâtre,Mer 7 au ven 23 oct,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre",,Maison de l’International,SOS MEDITERRANEE France,,http://traces-migrations.org/2020/09/10/isere-1107-sos-mediterranee/,www.sosmediterranee.fr,Gratuit,1 Rue Hector Berlioz,38000,Grenoble,1 Rue Hector Berlioz 38000 Grenoble ,"La mission de SOS MEDITERRANÉE s’inscrit dans le cadre légal de l’obligation d’assistance à toute personne en détresse en mer et se fonde sur les traditionnelles valeurs de solidarité des gens de mer. Cette exposition rassemble les clichés d’une dizaine de photographes montés à bord de l’Aquarius et de l’Ocean Viking, bateaux humanitaires affrétés par SOS MÉDITERRANÉE. Des images fortes qui révèlent avec humanité le drame des naufrages en Méditerranée et la mission de sauvetage en mer de l’association. Des panneaux d’explication et des témoignages apportent un éclairage sur ces photographies"
45.768254,4.8160662,Rhone,Soirée d’ouverture « PARTY EN EXIL »,Expression artistique des personnes migrantes,"Rencontre, Danse, Performance, Concert",Mer 7 oct,Semaine du 05 octobre,18h,Les Subs,"LES SUBS en partenariat avec le réseau Traces, Res Publica, l'Atelier des artistes en exil, CMTRA",reseau.traces@gmail.com,http://traces-migrations.org/2020/09/10/ouverture2020/,www.les-subs.com,Gratuit sur réservation,8bis Quai Saint-Vincent,69001,Lyon,8bis Quai Saint-Vincent 69001 Lyon ,"Soirée d'ouverture de la biennale. Performances, DJ Set, concert, rencontre autour de la question migratoire."
45.7469504,4.8275673,Rhone,« Rock against Police »,"Luttes, Quartiers populaires",Projection rencontre,Ven 9 oct,Semaine du 05 octobre,19h30,Périscope,le Périscope,periscope.communication@gmail.com,http://traces-migrations.org/2020/09/10/rhone-1009-periscope/,periscope-lyon.com,Gratuit,13 rue Delandine,69002,Lyon,13 rue Delandine 69002 Lyon ,"Projection du film « Rock Against Police » suivi d'un échange sur les questions des violences policières et de la solidarité de lutte dans les quartiers populaires. En présence du réalisateur Nabil Djedouani, du sociologue et chercheur Samir Hadj Belgacem et de membres du collectif « Surveillons Les »."
45.77722199999999,3.087025,Auvergne,Quinzaine de l’intégration,Hospitalité,"Forum, Projection, Conférence, Table ronde, Visite",Ven 9 au ven 16 oct,"Semaine du 05 octobre, Semaine du 12 octobre",,,"La Mairie de Clermont-Ferrand, dans le cadre du Contrat Territorial d’Accueil et d’Intégration des Réfugiés, le Conseil de l’Europe, l’Université Clermont Auvergne",nfel@ville-clermont-ferrand.fr – ccharrade@ville-clermont-ferrand.fr – npiguet@ville-clermont-ferrand.fr,http://traces-migrations.org/2020/09/11/auv1009quinzaine/,clermont-ferrand.fr,,,,Clermont-Ferrand,  Clermont-Ferrand ,"La ville de Clermont-Ferrand participe à la Quinzaine de l’intégration aux cotés de la DIAIR (Délégation interministérielle à l'accueil et à l'intégration des réfugiés) et de la Préfecture Du Puy De Dôme. L’objectif est de valoriser les actions et les expérimentations originales, voire innovantes en matière d’intégration des personnes étrangères, de mettre en lumière des parcours individuels d’intégration réussie et de permettre au public réfugié de prendre leur place dans la cité, par leur participation citoyenne dans une promotion de multiculturalité."
45.758993,4.9257392,Rhone,Aux origines du peuple vaudais,Travail,"Visite, Exposition, Concert",Sam 10 oct,Semaine du 05 octobre,De 14h à 20h,Usine TASE,Vive la TASE !,06 84 35 28 71,http://traces-migrations.org/2020/09/10/rhone1010tase/,www.ensemble-cusset-tase.com,Gratuit,11 Avenue Bataillon Carmagnole Liberté,69120,Vaulx-en-Velin,11 Avenue Bataillon Carmagnole Liberté 69120 Vaulx-en-Velin ,"Une après-midi dédiée à la découverte de l’Ensemble industriel remarquable Cusset-TASE. Une visite guidée de deux heures sur les traces des ouvriers de la viscose au XXe siècle. Une exposition nommée « Portraits de viscosiers » revenant en images sur l’aventure soyeuse vaudaise du siècle dernier. Pour terminer la journée, à 17h15 et 18h15 : un concert de musique baroque réalisé par « La Petite Querelle », groupe issu du conservatoire de musique de Vaulx-en-Velin."
