Latitude,Longitude,Departement,Titre,Thematique,Forme,Dates,Semaine du,Horaire,Lieu,Organisateurs,Informations,Lien,Prix,Adresse,Code postal,Ville,,Site Traces
45.76775,4.8179639,Rhone,Soirée d’ouverture « PARTY EN EXIL »,20 ans du réseau Traces,"Rencontre, Danse, Performance, Concert",Mer 7 oct,Semaine du 05 octobre,18h,Les Subs,"LES SUBS en partenariat avec le réseau Traces, Res Publica, l'Atelier des artistes en exil, CMTRA",reseau.traces@gmail.com,www.les-subs.com,Gratuit sur réservation,8bis Quai Saint-Vincent,69001,Lyon,,
45.78429,4.8525119,Rhone,« Comme un parfum d’aventure »,,"Exposition, Visite commentée",Mer 7 oct au dim 3 janv,"Semaine du 05 octobre, Semaine du 12 octobre, Semaine du 19 octobre, Semaine du 26 octobre, Semaine du 02 novembre, Semaine du 09 novembre, Semaine du 16 novembre, Semaine du 23 novembre, Semaine du 30 novembre, Semaine du 07 décembre, Semaine du 14 décembre, Semaine du 21 décembre, Semaine du 28 décembre",Horaires du Musée,Musée d’art contemporain,Musée d’art contemporain de Lyon et le Musée des Beaux-arts de Lyon,Service des publics : 04 72 69 17 19 ,hwww.mac-lyon.com/fr,,81 quai Charles de Gaulle,69006,Lyon,,
45.7469504,4.8275673,Rhone,« ROCK AGAINST POLICE »,"Luttes, Quartiers populaires",Projection rencontre,Ven 9 oct,Semaine du 05 octobre,19h30,Périscope,le Périscope,periscope.communication@gmail.com,periscope-lyon.com,Gratuit,13 rue Delandine,69002,Lyon,,
45.758993,4.9257392,Rhone,Aux origines du peuple vaudais,Travail,"Visite, Exposition, Concert",Sam 10 oct,Semaine du 05 octobre,De 14h à 20h,Usine TASE,Vive la TASE !,06 84 35 28 71,www.ensemble-cusset-tase.com,Gratuit,11 Avenue Bataillon Carmagnole Liberté,69120,Vaulx-en-Velin,,
45.7618326,4.910877,Rhone,"Villeurbanne la cosmopolite, histoire des migrations",Hospitalité,Visite commentée,Dim 11 oct,Semaine du 05 octobre,14h,"Cimetière Nouveau de Cusset","Chantal Jane Buisson Historienne, guide culturelle et auteure",RDV devant l'entrée principale.,,Gratuit,192 rue Léon Blum,69100,Villeurbanne,,
45.775232,4.818003099999999,Rhone,« Migrations en Revues »,,"Forum des revues, Conférence, Table ronde, Autre",Mar 13 oct,Semaine du 12 octobre,De 17h à 22h,Villa Gillet,Villa Gillet et la revue Écarts d'Identité,,www.villagillet.net,Gratuit sur réservation,25 Rue Chazière,69004,Lyon,,
45.7451126,4.8478314,Rhone,« Les Pionniers Africains de Lyon »,Histoire coloniale,Projection,Jeu 15 oct,Semaine du 12 octobre,19h30,MJC Jean Macé,"Alexandre Bonche et la MJC Jean Macé, en partenariat avec Collectif Africa 50",,www.mjcjeanmace.com,Prix libre,38 rue Camille Roy,69007,Lyon,,
45.8163391,4.9024652,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - VENDREDI 16 OCTOBRE", ,"Concert, Exposition, Conférence, Table ronde",Ven 16 oct,Semaine du 12 octobre,18h,Au Studio CCNR,"Mairie de Rillieux-la-Pape, dans le cadre de Soif de République, en collaboration avec le réseau Traces et les acteurs culturels de la ville",,,"Entrée gratuite, réservation obligatoire",2 allée Colette,69140,Rillieux-la-Pape,,
45.8141458,4.9002173,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - SAMEDI 17 OCTOBRE",Expression artistique des personnes migrantes,"Concert, Exposition, Conférence, Table ronde",Sam 17 oct,Semaine du 12 octobre,18h,Espace 140,,,,"Entrée gratuite, réservation obligatoire",Rue d'Athènes,69140,Rillieux-la-Pape,,
45.8180012,4.9026743,Rhone,"CARTE DE SÉJOUR et RACHID TAHA, de Rillieux-la-Pape au succès international !  - DIMANCHE 18 OCTOBRE",Expression artistique des personnes migrantes,"Concert, Exposition, Conférence, Table ronde",Dim 18 oct,Semaine du 12 octobre,18h30,CinéRillieux,,,,5,81 bis Avenue de l'Europe,69140,Rillieux-la-Pape,,
45.7676905,4.8353706,Rhone,Le 17 octobre 1961,Histoire coloniale,"Projection, Conférence, Table ronde",Sam 17 oct,Semaine du 12 octobre,17h,Opéra Underground,l'Opéra Underground,contact@opera-underground.com,www.opera-underground.com,Gratuit dans la limite des places disponibles.,1 place de la Comédie,69001,Lyon,,
45.761685,4.8859622,Rhone,Trajectoires croisées,"Hospitalité",Théâtre,Sam 17 oct,Semaine du 12 octobre,18h30,La Balise 46 - MJC de Villeurbanne,LA Balise 46 - MJC de Villeurbanne & Centre social Cusset,"04 78 84 84 83 – contact@mjc-villeurbanne.org",www.mjc-villeurbanne.org,7 € - Réservation recommandée,46 Cours du Dr Jean Damidot,69100,Lyon,,
45.7677997,4.8875907,Rhone,"Chaaba, du Bled au bidonville","Habitat, Histoire coloniale",Projection,Sam 17 oct,Semaine du 12 octobre,15h,Centre culturel et de la vie associative (CCVA),,04 78 79 26 16,,,234 Cours Émile Zola,69100,Villeurbanne,,
45.770568,4.874349,Rhone,« Il Mio Corpo »,,"Projection, Débat",Lun 19 oct,Semaine du 19 octobre,20h30,Cinéma le Zola,le Cinéma Le Zola,evenements@lezola.com,www.lezola.com,"5,80 € / 6,80 €",117 cours Emile Zola,69100,Villeurbanne,,
45.7499519,4.8577064,Rhone,« Trait d’union »,"Interculturalité, Frontières",Exposition,Lun 19 au sam 31 oct,"Semaine du 19 octobre, Semaine du 26 octobre",De 9h à 12h ; de 14h30 à 19h (visites guidées sur réservation) ,Carrefour des Cultures Africaines,Carrefour des Cultures Africaines (C.C.A),04 78 58 45 70 – 07 68 41 25 64 – secretaire.cca@gmail.com,www.carrefourculturesafricaines.org,,150 Cours Gambetta,69007,Lyon,,
45.7499519,4.8577064,Rhone,La repentance coloniale ? Histoire d’un mouvement de revendications de réparations de dettes coloniales dans l’opinion publique française (1981- 2012),Histoire coloniale,"Conférence, Table ronde, Débat",Mer 21 oct,Semaine du 19 octobre,19h,Carrefour des Cultures Africaines,Carrefour des Cultures Africaines (C.C.A),04 78 58 45 70 – 07 68 41 25 64 – secretaire.cca@gmail.com,www.carrefourculturesafricaines.org,,150 Cours Gambetta,69007,Lyon,,
45.775232,4.818003099999999,Rhone,Chili « Les temps des humbles »,,"Conférence, Table ronde, Littérature, Poésie",Mer 21 oct,Semaine du 19 octobre,18h30,Villa Gillet,Nouveaux Espaces Latino-Américains,Direction3@espaces-latinos.org – Olga Barry 07 72 38 73 53 – Januario Espinosa : 06 15 56 34 60,www.espaces-latinos.org,Gratuit,25 rue Chazière,69004,Lyon,,
